#{"t_start": 1753906013.745462, "env_id": "None"}
r,l,t
528.074286,50,204.306996
306.884281,50,204.421
776.94488,50,204.517998
211.823521,50,204.621001
6.8,50,204.733997
315.755195,50,204.830001
366.258413,50,204.921
670.784861,50,205.019998
572.951495,50,205.113
293.453091,50,205.204994
412.809868,50,205.28752
479.577836,50,205.379524
477.25586,50,205.474522
828.423996,50,205.576521
473.939284,50,205.672525
390.698126,50,205.772517
656.820193,50,205.86452
673.167693,50,206.307523
509.222761,50,206.390528
635.510141,50,206.47952
375.546936,50,206.569522
494.335776,50,206.660516
439.467482,50,206.758518
309.330128,50,206.845524
488.66395,50,206.929528
450.421969,50,207.036605
278.444063,50,207.138597
608.094148,50,207.262603
468.211763,50,207.3646
358.685644,50,207.462602
898.571598,50,207.549607
665.995741,50,207.640555
435.938904,50,207.748551
523.229155,50,207.843546
290.567177,50,207.928555
515.444193,50,208.011548
532.546711,50,208.097556
373.711723,50,208.184555
582.192218,50,208.268548
473.969047,50,208.358544
406.025228,50,208.456546
506.076225,50,211.399077
297.236994,50,211.488071
526.32916,50,211.578072
401.262478,50,211.672075
415.884016,50,211.764071
583.406549,50,211.866076
289.590182,50,211.968074
378.322339,50,212.073071
509.871745,50,212.164072
611.132397,50,212.25007
614.789536,50,212.341074
264.871762,50,212.456071
220.065897,50,212.559072
324.930236,50,212.66907
278.013104,50,212.764068
630.871405,50,212.850073
459.367428,50,212.938069
588.235545,50,213.03107
498.025397,50,213.118074
411.610198,50,213.206069
272.649033,50,213.286097
405.765964,50,213.378072
578.91504,50,213.466071
307.148609,50,213.554074
226.490893,50,213.640069
251.551274,50,213.735069
577.617606,50,213.821071
718.3829,50,213.915071
259.187841,50,214.011087
637.731206,50,214.104069
337.821879,50,214.20068
296.241287,50,214.299686
471.063687,50,214.394678
780.866216,50,214.493683
635.671515,50,214.596684
383.944522,50,214.697677
521.041616,50,214.793262
490.673585,50,214.887266
283.421997,50,214.986262
401.192226,50,215.082258
518.959681,50,220.374262
662.613716,50,220.540273
264.450683,50,220.666263
304.093317,50,220.813262
515.409274,50,220.934257
637.233823,50,221.058262
375.438992,50,221.314264
617.270595,50,221.487261
622.391468,50,221.730261
872.577954,50,221.874261
504.637633,50,222.037261
378.828919,50,222.232261
329.728486,50,222.390261
654.943475,50,222.497257
97.940904,50,222.60926
423.43827,50,222.72926
546.22928,50,222.833263
393.845624,50,222.936261
587.494058,50,223.042257
563.98775,50,223.160261
463.158698,50,223.267259
555.524656,50,223.379262
458.637839,50,223.476264
482.928917,50,223.592263
480.497622,50,223.701257
703.783294,50,223.808265
398.376429,50,223.91326
664.026347,50,224.01426
528.593415,50,224.127259
517.322876,50,224.234263
322.838343,50,224.334266
584.330585,50,224.44426
693.653297,50,224.551266
510.925414,50,224.679279
688.453631,50,224.787257
568.35071,50,224.897265
583.763921,50,225.015261
582.7393,50,225.136259
531.020543,50,225.246263
340.206382,50,225.351259
417.806791,50,225.463261
488.220363,50,229.549265
352.570661,50,229.655262
651.70117,50,229.765258
485.212602,50,229.868265
425.354899,50,229.96226
388.810817,50,230.055268
658.884566,50,230.154259
230.873828,50,230.263257
761.74726,50,230.36726
381.850309,50,230.467261
537.681427,50,230.56626
250.522318,50,230.663258
388.618128,50,230.783257
363.140582,50,230.888263
523.24653,50,230.984263
520.620057,50,231.080263
273.064394,50,231.981264
482.506415,50,232.434262
892.494627,50,232.777274
340.874923,50,233.153263
366.065823,50,233.612261
433.21213,50,233.840261
539.936463,50,233.986263
575.067486,50,234.083261
442.064645,50,234.182259
692.01501,50,234.295263
386.096436,50,234.394265
248.393547,50,234.491264
637.140597,50,234.587266
374.814374,50,234.689265
467.665041,50,234.815259
572.943015,50,234.914259
456.980709,50,235.011257
484.712931,50,235.110266
370.733719,50,235.22126
379.657245,50,235.327257
541.675413,50,235.43126
