#{"t_start": 1753906836.8329315, "env_id": "None"}
r,l,t
389.970842,50,118.814614
725.068111,50,118.96661
367.502846,50,119.131619
499.567788,50,119.296619
476.753809,50,119.445614
445.572978,50,119.61241
436.379969,50,119.795417
448.942815,50,119.947408
378.281216,50,120.107412
252.931845,50,120.276412
544.65187,50,120.444408
850.813096,50,120.612407
479.102432,50,120.784417
615.444014,50,120.938411
709.124811,50,121.125411
434.103312,50,121.337411
311.219253,50,121.512411
282.434288,50,121.709636
441.520735,50,121.893637
597.744136,50,122.071635
761.439563,50,122.260633
437.319152,50,122.420635
591.174505,50,122.611637
527.520408,50,122.785632
206.143972,50,122.936665
559.440054,50,123.097671
604.88061,50,123.279638
690.444559,50,123.433634
350.931939,50,123.600481
768.84455,50,123.776474
402.335367,50,123.933471
335.933231,50,124.090476
418.884939,50,124.270481
392.891021,50,124.424477
688.485006,50,124.624474
592.42831,50,124.876473
548.678329,50,125.103474
403.374052,50,125.361475
295.374304,50,125.599471
424.56085,50,125.77948
428.086341,50,125.921475
254.827286,50,126.076481
294.250429,50,126.264472
445.62031,50,126.425493
699.384583,50,126.607497
453.190876,50,126.809495
248.689497,50,126.958494
290.147466,50,127.115527
606.306541,50,127.282495
500.560294,50,127.464496
721.353373,50,127.639497
483.712074,50,128.025496
525.905769,50,128.206497
407.780596,50,128.400494
485.989678,50,128.567494
396.076007,50,128.746494
424.352558,50,128.968493
425.950473,50,129.1385
618.39671,50,129.322497
507.473743,50,129.516494
433.856351,50,129.797496
392.860481,50,130.018493
468.402792,50,130.190492
444.393188,50,130.434496
516.040506,50,130.617493
396.408678,50,130.930498
626.008735,50,131.266496
488.759909,50,133.142496
403.415176,50,133.853497
233.231558,50,134.158493
474.259705,50,134.341501
437.062088,50,134.503502
373.157989,50,134.676496
463.115249,50,134.8685
382.554949,50,135.034498
274.497538,50,135.205492
736.02618,50,135.362497
349.144879,50,135.520493
448.889071,50,135.694501
675.89092,50,135.862494
240.952705,50,136.031502
671.085813,50,136.207498
536.856003,50,136.359501
744.767021,50,136.516498
596.614641,50,136.691493
498.010913,50,136.854495
434.592902,50,137.012494
242.215371,50,137.191525
232.565474,50,137.624499
448.750856,50,137.806494
373.840153,50,137.989492
433.241807,50,138.143501
737.041498,50,138.359497
406.2735,50,138.550497
379.3611,50,138.725018
502.446127,50,138.889024
207.526528,50,139.038023
446.914926,50,139.214052
520.44339,50,139.37702
358.346011,50,139.537019
559.359633,50,139.777022
364.587793,50,139.992022
520.569126,50,140.271022
852.148981,50,140.593019
366.864379,50,140.828019
470.43654,50,140.99402
512.154219,50,141.16202
740.73731,50,141.33502
341.200053,50,141.512025
598.610599,50,141.705023
301.453236,50,141.87402
31.5,50,142.032025
238.86708,50,142.215027
490.873927,50,142.436023
415.830032,50,142.705019
679.846681,50,142.87402
374.823963,50,143.034021
396.78581,50,143.509022
404.518376,50,143.854022
329.926147,50,144.127023
514.947026,50,144.44202
573.190559,50,144.715024
724.466015,50,144.877018
554.39825,50,145.033027
453.443789,50,145.198021
598.848363,50,145.359021
471.06529,50,145.514026
629.93282,50,145.691024
539.681866,50,145.861024
433.147147,50,146.024022
456.115637,50,146.204071
365.424654,50,146.360022
434.396985,50,146.519023
698.474293,50,146.704021
511.033836,50,146.874024
311.849143,50,147.026028
442.15701,50,147.211018
434.910532,50,147.369049
467.255578,50,147.526021
631.428315,50,147.708019
519.337282,50,147.874027
823.016415,50,148.025021
544.135282,50,148.208019
540.748174,50,148.372017
464.682726,50,148.529024
469.658417,50,148.709023
447.441934,50,148.880019
307.641227,50,149.04205
632.727604,50,149.225022
499.511235,50,149.384024
806.059183,50,149.542023
573.27272,50,149.731023
470.935627,50,149.88902
841.068705,50,150.053029
260.604526,50,150.230021
587.095792,50,150.430024
744.476401,50,150.596027
350.82638,50,150.780023
527.870338,50,150.960022
412.010839,50,151.131028
446.118032,50,151.297023
324.208846,50,151.450019
665.581532,50,151.606018
769.456954,50,151.78302
346.575986,50,151.951018
391.213914,50,152.108027
540.639359,50,152.28402
705.954685,50,152.444019
475.603324,50,152.615028
452.97186,50,152.785028
465.284807,50,152.949021
601.160421,50,153.123243
553.391604,50,153.293246
502.871163,50,153.447244
214.5396,50,153.613242
433.337084,50,153.784241
571.619475,50,153.93825
349.678175,50,154.100248
439.033043,50,154.271251
369.057571,50,154.430244
343.990863,50,154.58924
474.888761,50,154.777242
399.620977,50,154.933249
458.046807,50,155.096967
442.658574,50,155.269962
320.68879,50,155.417961
451.161034,50,155.578964
405.765431,50,155.755964
687.21968,50,155.925964
352.454497,50,156.08496
343.035843,50,156.27996
202.858164,50,156.440964
386.093044,50,156.596991
858.778578,50,156.776959
548.7174,50,156.946964
435.905967,50,157.12096
446.039711,50,157.298961
544.515743,50,157.45496
448.492357,50,157.620961
384.212488,50,157.79896
576.54404,50,157.963963
402.114305,50,158.130971
544.106955,50,158.29197
263.901128,50,158.432968
732.725473,50,158.576962
523.225484,50,158.740965
655.203492,50,158.89348
418.665857,50,159.053489
309.597776,50,159.228245
172.169651,50,159.482249
631.263483,50,159.717247
698.357677,50,159.949243
150.390552,50,160.180247
306.789332,50,160.433247
319.089266,50,160.653244
783.251977,50,160.850246
533.017417,50,161.016244
543.55112,50,161.208247
515.959488,50,161.370248
442.627286,50,161.528243
602.570741,50,161.700251
457.807682,50,161.878247
528.299366,50,162.037243
493.379174,50,162.217246
630.907924,50,162.376041
367.513902,50,162.531035
516.669856,50,162.698036
446.049945,50,162.862039
465.549289,50,163.077048
453.528477,50,163.280037
464.726522,50,163.430037
435.370616,50,163.593035
475.147555,50,163.775036
637.264989,50,163.928046
382.169022,50,164.088041
361.334383,50,164.294039
420.753358,50,164.47304
452.193804,50,164.63904
