#{"t_start": 1753905059.3717554, "env_id": "None"}
r,l,t
289.61101,50,101.625905
324.998489,50,101.899895
419.798221,50,102.21446
319.311668,50,102.541837
434.4258,50,102.766431
599.520216,50,103.044575
417.747781,50,103.370259
275.978565,50,103.712371
413.846043,50,104.145387
279.455841,50,104.440275
450.718611,50,104.81168
375.886624,50,105.181667
179.1,50,105.52214
439.507981,50,106.009005
261.6,50,106.451249
446.062295,50,106.681259
492.349228,50,106.842945
317.172,50,106.982783
349.004605,50,107.114164
310.22441,50,107.271381
132.3,50,107.401596
577.319374,50,107.540121
622.583139,50,107.673265
387.441905,50,107.799657
340.893516,50,107.95126
431.733619,50,108.071258
306.238327,50,108.201258
280.034056,50,108.337551
296.824449,50,108.481091
304.550021,50,108.602137
510.777674,50,108.719187
421.911695,50,108.85419
261.2,50,109.079126
393.574072,50,109.270088
287.481117,50,109.401092
370.279035,50,109.593157
413.474059,50,109.750869
213.3,50,109.88086
214.9,50,110.00885
310.398171,50,110.149432
468.327635,50,110.271427
521.090574,50,110.387434
293.685597,50,110.509427
264.5,50,110.644972
240.3,50,110.81904
291.478422,50,110.950033
478.773296,50,111.075038
314.379539,50,111.214066
316.658053,50,111.430705
190.4,50,111.567231
305.616,50,111.690722
311.409834,50,111.817657
257.8,50,111.943991
267.702242,50,112.056666
352.809109,50,112.183193
348.015172,50,112.323298
398.409365,50,112.454146
253.4,50,112.564145
257.9,50,112.672143
323.603157,50,112.784149
253.1,50,112.915864
223.432744,50,113.031501
345.607671,50,113.143115
329.916941,50,113.259836
337.406952,50,113.380316
134.2,50,113.499142
477.922937,50,113.620474
185.5,50,113.727478
244.748063,50,113.867043
355.135312,50,113.975912
456.730485,50,114.087377
334.219491,50,114.199971
329.42,50,114.331713
728.450179,50,114.479308
342.706191,50,114.608405
338.135045,50,114.724524
358.800772,50,114.863445
437.259747,50,114.973443
360.216091,50,115.096444
273.286992,50,115.214505
284.581903,50,115.35951
497.752747,50,115.478515
128.172825,50,115.59159
485.961762,50,115.734584
255.382725,50,115.951179
481.994178,50,116.063252
419.290847,50,116.178491
435.464773,50,116.282498
394.660485,50,116.405497
257.8,50,116.51549
326.585563,50,116.622494
334.066,50,116.747499
262.9,50,116.872491
173.892105,50,116.997498
434.410968,50,117.098497
350.927691,50,117.224497
253.381116,50,117.350291
361.605502,50,117.46175
335.562673,50,117.604825
327.412,50,117.835107
506.384678,50,117.964453
467.451105,50,118.071786
245.698352,50,118.198113
381.816897,50,118.304683
227.7,50,118.465035
418.782264,50,118.597098
712.786996,50,118.704197
310.274523,50,118.833403
399.393521,50,118.97342
313.60822,50,119.09353
399.682824,50,119.214614
705.800303,50,119.339504
262.9,50,119.462509
505.859383,50,119.573457
267.5,50,119.708448
248.7,50,119.92822
371.39642,50,120.070653
328.684744,50,120.181521
184.4,50,120.300517
502.955871,50,120.458675
241.8,50,120.656359
257.5,50,120.861428
612.332173,50,121.030623
281.822214,50,121.179051
197.8,50,121.358459
390.890622,50,121.528056
234.957254,50,121.682071
353.204121,50,121.841219
503.318309,50,121.995523
262.7,50,122.10937
336.058958,50,122.232523
304.314098,50,122.343291
421.963131,50,122.457862
301.693012,50,122.571051
286.061017,50,122.686287
282.642055,50,122.803482
331.182457,50,122.928902
292.487027,50,123.06084
457.842622,50,123.166792
260.8,50,123.28953
372.943876,50,123.434088
694.55154,50,123.540009
332.512431,50,123.658963
416.405434,50,123.765722
374.884432,50,123.898329
239.100813,50,124.001731
401.773906,50,124.117952
168.1,50,124.226226
539.835122,50,124.348041
321.387251,50,124.459294
252.385893,50,124.565408
256.8,50,124.685421
325.750783,50,124.814059
600.619283,50,124.927119
324.833475,50,125.047627
310.635329,50,125.164092
329.814291,50,125.2949
331.398553,50,125.407191
400.443432,50,125.524339
285.611316,50,125.642915
357.224794,50,125.775888
234.2,50,125.893057
276.937237,50,125.998433
427.240801,50,126.105649
479.624058,50,126.229651
646.669181,50,126.341649
285.952697,50,126.456846
333.68303,50,126.571852
212.8,50,126.691845
451.727859,50,126.8064
237.9,50,126.929589
359.615809,50,127.041595
559.771189,50,127.154588
318.805035,50,127.265589
326.884985,50,127.386598
401.015249,50,127.498222
304.060254,50,127.617369
269.742124,50,127.752589
317.998594,50,127.87207
488.681816,50,127.989757
551.485384,50,128.118729
319.098315,50,128.255438
340.921134,50,128.378224
320.366513,50,128.493268
513.226912,50,128.610694
451.223908,50,128.725498
379.445028,50,128.851122
609.130481,50,128.970127
358.8938,50,129.102093
408.09449,50,129.229143
333.070674,50,129.337427
325.539194,50,129.448472
395.253185,50,129.600486
237.2,50,129.714208
804.284191,50,129.839345
313.680395,50,129.956338
335.23776,50,130.073889
207.391308,50,130.187892
322.895852,50,130.31089
434.705327,50,130.434889
311.243242,50,130.559888
397.7259,50,130.888803
330.188213,50,130.998867
435.003443,50,131.120699
449.996721,50,131.245131
208.510419,50,131.359667
517.869066,50,131.480507
595.206404,50,131.598777
391.291904,50,131.718009
234.1,50,131.83247
373.472217,50,131.934193
445.78235,50,132.037714
353.372329,50,132.175242
